classical_3x3,quantum_3x3,classical_4x4,quantum_4x4
0.84,0.84,-3.8000000000000016,0.4
0.64,-1.04,-4.160000000000002,-2.000000000000001
-1.04,0.76,-2.7200000000000006,0.76
0.6799999999999999,0.88,-1.9200000000000004,-1.08
-1.04,-1.32,-2.0,-1.6400000000000001
0.84,0.8,-1.6800000000000002,-1.2
0.88,0.8,-1.4,0.6799999999999999
0.84,-1.28,-0.12000000000000033,-1.04
0.84,-1.28,-1.2,-1.08
0.4800000000000001,0.88,-1.160000000000001,0.2799999999999999
0.84,0.56,-1.28,-2.000000000000001
-1.12,-1.28,-2.5600000000000023,0.6799999999999999
0.84,0.84,0.23999999999999988,-1.04
0.64,0.76,-1.28,-1.44
0.88,0.84,-1.24,0.64
0.84,-1.04,-1.52,-1.32
-1.3599999999999999,0.88,-1.8800000000000003,0.44000000000000006
0.8,0.88,-1.16,-1.2
0.6799999999999999,0.31999999999999995,-1.44,0.6799999999999999
0.76,0.23999999999999988,-1.7200000000000002,0.6000000000000001
0.8,-1.16,-1.9200000000000004,0.8
0.6799999999999999,0.6000000000000001,-1.52,-1.04
-1.28,0.11999999999999977,-2.2,0.6799999999999999
-1.04,-1.3599999999999999,-2.08,-1.28
0.8,-0.2000000000000004,-1.16,0.8
0.88,0.72,-0.28000000000000047,0.31999999999999995
0.84,-1.7600000000000002,-1.12,0.2799999999999999
-1.6400000000000001,0.6799999999999999,-1.08,0.76
0.88,0.88,-1.8000000000000003,-1.04
-1.12,0.31999999999999995,-1.9200000000000004,0.6799999999999999
0.76,-1.04,-1.9600000000000004,0.6000000000000001
0.88,0.8,-1.24,0.6000000000000001
0.84,0.88,-1.04,0.76
0.84,-1.04,0.4800000000000001,-2.000000000000001
0.88,0.88,0.76,0.6000000000000001
0.88,0.23999999999999988,-0.24000000000000044,-1.04
-1.04,0.44000000000000006,-2.220446049250313e-16,-1.32
-1.04,0.72,-1.9600000000000004,0.8
0.6000000000000001,-1.48,-0.4000000000000006,0.76
0.8,0.11999999999999977,0.4800000000000001,-1.2
0.76,0.1599999999999998,-1.4,0.8
0.76,-1.3599999999999999,-1.2,0.44000000000000006
0.88,-1.04,-0.5200000000000007,-1.04
0.72,-2.6400000000000006,-1.24,0.72
0.88,0.84,-1.08,0.52
-1.2,0.8,-1.24,0.6000000000000001
0.88,0.07999999999999974,0.0399999999999997,0.52
0.88,0.72,-1.6400000000000001,-2.000000000000001
-1.04,0.31999999999999995,0.2799999999999999,0.6799999999999999
-1.12,0.88,-1.24,0.6799999999999999
0.88,0.2799999999999999,0.23999999999999988,0.72
0.76,0.76,0.4800000000000001,-1.04
0.84,-1.24,-0.920000000000001,0.4800000000000001
-1.28,0.36,0.36,0.4800000000000001
-1.12,0.76,-1.04,-2.000000000000001
0.84,0.64,0.4800000000000001,-2.000000000000001
-1.04,0.76,0.4800000000000001,0.76
0.84,-1.52,0.0399999999999997,-1.04
-1.16,-1.04,-1.48,0.76
0.6799999999999999,0.88,-1.12,0.4
-1.04,-1.2,-0.8000000000000009,0.6799999999999999
-1.04,0.88,0.44000000000000006,0.56
0.8,-1.08,-0.4000000000000006,0.8
-1.04,0.8,-2.08,0.6799999999999999
-1.04,0.72,-1.48,0.76
0.8,0.88,-1.28,0.8
0.6799999999999999,0.88,-1.12,-2.000000000000001
0.88,0.6799999999999999,0.4800000000000001,0.8
0.8,0.6799999999999999,-1.12,0.76
